"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"UPH","ÜNLÜ PORTFÖY HİSSE SENEDİ (TL) FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,0333","59,6579","134,2014","0,7139","194,3712","557,3897","-"
"DAH","DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,9476","68,3921","136,7300","1,6176","194,3159","421,5874","451,4367"
"AAV","ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,5854","56,3193","133,4686","-1,0380","193,7574","512,8586","671,7924"
"IIS","İSTANBUL PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","14,3107","81,6637","147,2793","-2,7121","191,6521","679,4822","-"
"OHB","OYAK PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,0258","60,2531","124,2207","-0,3987","191,2398","453,2607","605,2796"
"TZC","ZİRAAT PORTFÖY BÜYÜYEN ÇOCUKLARA YÖNELİK DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","6,1261","57,6949","134,0907","-1,0984","188,7753","372,0067","524,3399"
"NRC","NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,0109","43,1209","131,5488","-0,6272","185,4897","-","-"
"GAF","INVEO PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,4925","59,3846","129,0092","0,9522","184,3672","358,1208","490,1882"
"MMH","MÜKAFAT PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,2263","55,9309","126,5151","0,7353","184,0374","-","-"
"FPH","FİBA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,6975","66,0983","134,5313","0,7446","184,0270","545,1926","777,8648"
"HBU","HSBC PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,5616","57,0057","128,3765","0,7266","183,9004","354,3497","366,9368"
"TCS","TACİRLER PORTFÖY SİRİUS SERBEST FON","Serbest Şemsiye Fonu","9,4802","56,9488","106,7888","-1,1245","182,9704","588,4943","-"
"KTU","KT PORTFÖY NEOVA KATILIM SERBEST ÖZEL (TL) FON","Serbest Şemsiye Fonu","6,8142","61,7263","127,0895","-2,7609","181,9818","345,0167","536,0268"
"STZ","STRATEJİ PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","13,9889","57,8393","119,3866","1,3087","181,8963","494,6694","-"
"DZE","DENİZ PORTFÖY BIST 100 ENDEKSİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,5911","59,8268","128,4570","0,4669","181,6533","389,3204","402,0101"
"IBE","İSTANBUL PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","11,6975","47,7532","104,1074","-2,6657","181,1785","449,2724","-"
"AKU","AK PORTFÖY BİST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,2901","58,7684","123,9937","1,6776","177,5135","331,3346","369,1147"
"RBH","ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","7,9518","63,4521","124,8961","-0,1395","176,9178","660,2478","-"
"YDI","YAPI KREDİ PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,2139","52,1943","115,4282","0,0658","176,8717","483,6031","604,2254"
"EC2","GLOBAL MD PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,0699","49,4197","129,6685","0,0373","176,7669","361,9654","431,6367"
"GKL","GARANTİ PORTFÖY YF HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","12,7440","56,8467","118,0393","0,7968","176,0364","-","-"
"TIE","İŞ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,8297","56,0669","122,5100","0,7691","174,5703","324,1147","338,9965"
"HPL","HEDEF PORTFÖY ÇINAR HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","6,7311","82,8748","90,9928","-2,2828","174,4104","-","-"
"OJH","QİNVEST PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","4,0346","53,9939","162,9916","-3,3747","173,2103","-","-"
"GAE","GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","12,3035","54,9033","122,6063","0,8016","173,0302","321,6071","339,2122"
"HMC","HEDEF PORTFÖY EKİNOKS SERBEST FON","Serbest Şemsiye Fonu","3,0543","45,8366","112,8067","-1,3249","171,9432","-","-"
"AK3","AK PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","16,8799","55,8253","119,3859","1,0445","171,8218","345,4966","422,3322"
"KPC","KT PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","6,0787","61,0350","122,6998","-2,4484","170,5886","-","-"
"YEF","YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,3718","52,7859","118,8618","0,5889","169,0521","305,9080","318,3022"
"TJL","AZİMUT PORTFÖY TAYD SERBEST ÖZEL FON","Serbest Şemsiye Fonu","9,4472","38,8810","114,7894","0,0000","168,2537","-","-"
"ELZ","QİNVEST PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","6,6221","54,0863","120,4181","-1,8002","167,1121","-","-"
"ZPE","ZİRAAT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","6,6542","53,6708","119,9806","-1,2469","166,2626","554,9216","729,5542"
"YAR","İŞ PORTFÖY RESAN DEĞİŞKEN ÖZEL FON","Değişken Şemsiye Fonu","9,1523","42,7513","101,5096","0,2079","164,3588","367,5860","474,8496"
"GZR","GARANTİ PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","14,7762","57,6887","117,3539","1,3336","163,3812","-","-"
"YHS","YAPI KREDİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,7405","51,9978","106,7758","0,6042","156,1095","397,6634","431,8702"
"YPP","YAPI KREDİ PORTFÖY PY KUZGUNCUK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","13,4021","58,3571","109,8020","0,1049","152,5838","426,3117","-"
"TGA","GARANTİ PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,1063","42,5484","83,4710","-0,4590","152,2155","300,1327","503,6414"
"GZM","GLOBAL MD PORTFÖY DİNAMİK SERBEST FON","Serbest Şemsiye Fonu","14,5717","43,6207","97,0671","2,6646","151,9838","-","-"
"SRO","AZİMUT PORTFÖY SKY SERBEST ÖZEL FON","Serbest Şemsiye Fonu","8,0364","32,3209","99,8475","0,0000","150,7658","459,2420","-"
"NKJ","ATA PORTFÖY YEDİNCİ SERBEST FON","Serbest Şemsiye Fonu","-14,7570","-20,1303","35,9471","-0,3337","149,8871","-","-"
"IJF","AZİMUT PORTFÖY EREN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","13,3883","65,6120","97,5763","0,0000","149,6399","-","-"
"MPS","MÜKAFAT PORTFÖY KATILIM HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","Hisse Senedi Şemsiye Fonu","7,7579","52,7218","121,0448","0,2006","148,3789","502,9993","661,8230"
"EJG","AZİMUT PORTFÖY İNAN SERBEST ÖZEL FON","Serbest Şemsiye Fonu","12,7255","64,2538","96,7498","0,0000","146,8870","-","-"
"YAS","YAPI KREDİ PORTFÖY KOÇ HOLDİNG İŞTİRAK VE HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,9047","55,3172","106,4776","-1,0330","145,4779","450,3782","494,6039"
"FYA","İSTANBUL PORTFÖY ARK II SERBEST FON","Serbest Şemsiye Fonu","27,2088","51,7820","86,4949","-5,6590","144,0645","1.022,4806","-"
"HPF","HEDEF PORTFÖY KUZEY HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-14,1379","42,7934","147,7888","-11,6717","144,0500","1.114,3461","-"
"TTL","TACİRLER PORTFÖY KARTOPU SERBEST FON","Serbest Şemsiye Fonu","15,0654","45,5163","89,4975","-0,2752","142,2752","-","-"
"ZPJ","ZİRAAT PORTFÖY KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","0,2422","46,7886","149,6820","-7,6023","140,6635","-","-"
"AHZ","AZİMUT PYŞ ATAK SERBEST FON","Serbest Şemsiye Fonu","6,4742","58,8737","90,6767","0,0000","139,8023","367,6011","-"
"DDA","DENİZ PORTFÖY ALTINCI SERBEST FON","Serbest Şemsiye Fonu","10,2848","43,6934","92,8458","0,0000","139,6116","-","-"
"TKF","TACİRLER PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,1648","35,7136","92,4194","-1,3233","138,7639","603,4162","1.253,4804"
"TNP","AZİMUT PORTFÖY BİLİM AĞACI SERBEST ÖZEL FON","Serbest Şemsiye Fonu","5,3510","54,9371","77,1300","0,0000","138,5156","-","-"
"GSP","AZİMUT PYŞ KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","10,5987","65,3376","112,4019","-0,9053","138,4599","327,3466","499,3381"
"AN1","STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,3844","37,2382","85,2658","0,4110","137,9579","253,6189","390,7825"
"HSA","HSBC PORTFÖY DEĞİŞKEN (TL) FON","Değişken Şemsiye Fonu","5,3909","29,2712","74,8350","-0,4463","137,5006","379,1465","633,0119"
"OKD","OYAK PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,1959","43,9183","78,6983","-0,6591","135,5889","317,2390","495,1583"
"HYY","AK PORTFÖY HERAKLES SERBEST ÖZEL FON","Serbest Şemsiye Fonu","12,6809","47,3763","109,0016","0,2096","134,0465","-","-"
"FRA","AZIMUT PORTFÖY MAB SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,3487","51,9556","63,1309","0,0000","133,1389","767,9338","-"
"TPP","TEB PORTFÖY PUSULA SERBEST FON","Serbest Şemsiye Fonu","15,8732","50,6998","74,2304","0,0000","130,1385","515,7946","-"
"IJA","INVEO PORTFÖY ATAK DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,5693","44,2975","89,1760","0,9333","128,3261","-","-"
"FRZ","AZİMUT PORTFÖY FRZ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","7,7090","54,3064","78,6619","0,0000","127,3900","353,5741","-"
"ZJI","ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","4,6738","32,4364","81,4112","-2,4443","126,3758","-","-"
"AYA","ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","11,5413","63,2703","115,7779","0,1454","125,5778","340,4156","440,0062"
"HJA","AZİMUT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","13,6310","55,8253","113,1451","0,3938","125,0285","-","-"
"ZJB","ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON","Serbest Şemsiye Fonu","4,4876","30,7114","78,8872","-2,3097","122,1339","-","-"
"ACK","İSTANBUL PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","8,9457","34,1694","79,3386","0,9369","121,0055","262,6982","445,0524"
"DPT","DENİZ PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON )","Hisse Senedi Şemsiye Fonu","14,1813","54,4626","103,0063","1,6590","120,7670","388,7597","402,3174"
"ACD","İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,0660","35,2422","75,5936","0,1593","120,3305","358,4295","443,8215"
"GMA","AZİMUT PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,9507","38,8139","69,9934","-0,6918","119,2860","291,6870","516,7541"
"DBP","DENİZ PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","10,1618","46,1772","83,2093","1,3228","118,3117","215,4304","342,2568"
"ALC","AK PORTFÖY BİST TEMETTÜ 25 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","13,6118","50,9438","97,6236","1,6353","116,5593","365,4441","389,8955"
"LFD","İŞ PORTFÖY AZİM SERBEST ÖZEL FON","Serbest Şemsiye Fonu","10,3942","41,1496","86,4041","2,3428","115,8881","-","-"
"KSD","QİNVEST PORTFÖY BİRİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","7,5578","9,0560","20,9515","0,2785","115,0032","210,0681","-"
"ECA","GLOBAL MD PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","9,4858","29,9093","79,7875","0,3592","114,3929","268,3796","392,0320"
"ITJ","İSTANBUL PORTFÖY SEKİZİNCİ SERBEST FON","Serbest Şemsiye Fonu","11,2007","42,5652","73,5305","-2,3940","113,2102","-","-"
"IZB","İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","14,2362","49,6884","78,0945","0,0000","112,0789","-","-"
"FBN","FİBA PORTFÖY SAFİR SERBEST FON","Serbest Şemsiye Fonu","6,9480","47,3704","84,6277","1,0581","112,0245","-","-"
"TJB","TACİRLER PORTFÖY BDR SERBEST ÖZEL FON","Serbest Şemsiye Fonu","5,3906","29,7708","77,5746","-1,4203","111,0000","-","-"
"YSU","YAPI KREDİ PORTFÖY ÜÇÜNCÜ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,2162","23,4228","57,4333","2,0126","109,6289","179,8243","287,5374"
"MLS","MÜKAFAT PORTFÖY BİRİNCİ SERBEST FON","Serbest Şemsiye Fonu","1,0355","22,3470","59,8631","0,2506","108,0457","-","-"
"ICZ","AK PORTFÖY TEKNOLOJİ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5834","69,3089","99,4874","-3,2987","103,4992","-","-"
"YHZ","YAPI KREDİ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ FONU ( HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3,6883","67,8334","99,6382","-1,8147","103,1005","-","-"
"PYL","AZİMUT PORTFÖY 11.0 SERBEST FON","Serbest Şemsiye Fonu","7,6496","40,3493","62,1123","-1,9318","102,9982","-","-"
"GTK","GARANTİ PORTFÖY KAMU BORÇLANMA ARAÇLARI ÖZEL FONU","Borçlanma Araçları Şemsiye Fonu","2,0305","12,7306","30,9753","-0,0876","102,9065","-","-"
"TTE","İŞ PORTFÖY BIST TEKNOLOJİ AĞIRLIK SINIRLAMALI ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","3,2907","66,9361","99,3531","-1,9352","102,3743","484,3764","543,1735"
"RPD","RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,9303","27,3930","50,8259","0,9924","102,2234","-","-"
"ZPC","ZİRAAT PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,5738","28,5209","60,1542","-0,1633","102,0375","241,6043","402,5087"
"GMZ","İŞ PORTFÖY MZ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","5,9452","34,0207","68,4407","-2,0778","100,5246","-","-"
"ICC","ICBC TURKEY PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,9493","29,7569","66,9645","0,9276","98,8320","195,8688","270,4368"
"ARP","AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","8,9567","32,1241","64,2345","0,1458","98,7841","242,0279","362,5881"
"AED","ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,8385","31,6544","67,2216","-0,4231","97,5969","299,0644","45,4000"
"YCL","ATA PORTFÖY BEŞİNCİ SERBEST FON","Serbest Şemsiye Fonu","6,5993","34,5563","62,8217","-0,3067","94,7077","-","-"
"PYH","AZİMUT PORTFÖY 10.0 SERBEST FON","Serbest Şemsiye Fonu","-3,9023","16,4925","42,8729","-3,9317","94,4267","-","-"
"BJO","AZİMUT PORTFÖY DELTA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","5,9312","41,4492","77,0133","0,0000","93,8225","-","-"
"IPA","İŞ PORTFÖY SÜTAŞ İKİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","9,2816","33,0678","60,5633","0,0620","92,1493","305,7380","429,8120"
"HYK","HEDEF PORTFÖY AKDENİZ SERBEST FON","Serbest Şemsiye Fonu","5,8251","28,6082","47,9343","1,5127","92,0974","-","-"
"SUB","ÜNLÜ PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,9252","31,0033","55,7144","1,0727","91,6613","182,5991","247,6170"
"ZBD","ZİRAAT PORTFÖY DENGELİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,7298","27,6326","61,2981","0,4061","91,5852","170,1911","273,4070"
"GJB","INVEO PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","6,2432","35,6070","70,3932","0,6213","90,6041","-","-"
"YAK","YAPI KREDİ PORTFÖY KARMA FON","Karma Şemsiye Fonu","5,3463","21,0632","47,1450","0,6133","90,2815","216,2226","270,3919"
"FID","FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,8410","33,3921","61,0946","0,5302","89,9138","306,0693","495,4147"
"MJH","MÜKAFAT PORTFÖY FORTUNA SERBEST FON","Serbest Şemsiye Fonu","4,8652","13,7824","37,4904","0,6444","89,6956","-","-"
"HDS","HEDEF PORTFÖY SERBEST (TL) FON","Serbest Şemsiye Fonu","-3,1849","1,5499","54,8968","-1,4641","88,8703","231,8873","-"
"KTM","KT PORTFÖY BİRİNCİ KATILIM (TL) FONU","Katılım Şemsiye Fonu","4,3568","25,4975","50,7310","-0,8917","88,3736","202,2541","333,9150"
"AHV","AZİMUT PYŞ DENGELİ SERBEST FON","Serbest Şemsiye Fonu","4,0188","34,9847","55,9416","0,0000","88,3268","237,0363","-"
"MPP","MEKSA PORTFÖY PRİME SERBEST FON","Serbest Şemsiye Fonu","-4,3641","10,0696","64,0482","-0,9117","87,8844","490,1702","754,6334"
"IIP","İSTANBUL PORTFÖY ARİES SERBEST FON","Serbest Şemsiye Fonu","10,9858","40,4138","69,2499","-4,5429","85,3770","259,6703","-"
"GEI","INVEO PORTFÖY EVEREST SERBEST FON","Serbest Şemsiye Fonu","10,8244","42,7602","74,4248","-5,2627","83,3760","-","-"
"IJT","İŞ PORTFÖY TARIM SERBEST FON","Serbest Şemsiye Fonu","4,2573","17,4818","44,2727","-0,5081","81,9899","-","-"
"KRF","KARE PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,5270","27,9887","48,3619","0,7945","81,4496","245,8909","-"
"TKK","İŞ PORTFÖY KUMBARA HESABI KARMA ÖZEL FON","Karma Şemsiye Fonu","5,8225","26,0905","53,0928","1,3624","80,1894","187,8862","291,3368"
"ZJR","ZİRAAT PORTFÖY TÜRK REASÜRANS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,8550","26,3543","55,6852","-0,2221","78,0269","-","-"
"IAF","İSTANBUL PORTFÖY ARK I SERBEST FON","Serbest Şemsiye Fonu","10,2548","28,8220","49,8772","-2,5236","77,6556","474,9139","-"
"TZP","TACİRLER PORTFÖY RİGEL SERBEST ÖZEL FON","Serbest Şemsiye Fonu","2,6474","13,3807","32,6687","0,9277","77,5470","-","-"
"IZS","İSTANBUL PORTFÖY ALTINCI SERBEST FON","Serbest Şemsiye Fonu","2,5234","8,5863","28,7402","0,0830","75,9499","-","-"
"ODD","OYAK PORTFÖY DÖRDÜNCÜ SERBEST FON","Serbest Şemsiye Fonu","1,7904","9,8141","29,2019","0,1604","74,5239","-","-"
"EBD","GLOBAL MD PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","7,5641","26,3614","51,7380","0,1567","74,5046","174,6085","264,7629"
"YKS","YAPI KREDİ PORTFÖY İSTANBUL SERBEST FON","Serbest Şemsiye Fonu","7,0443","28,9457","47,7174","0,7553","73,4673","184,4402","-"
"EIC","QİNVEST PORTFÖY İKİNCİ DEĞİŞKEN FONU","Değişken Şemsiye Fonu","2,3773","18,6605","47,2170","-1,1549","73,1568","183,7679","344,7377"
"TTN","AZİMUT PORTFÖY TESA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","1,9953","33,0921","62,6951","0,3711","72,7352","-","-"
"GKS","INVEO PORTFÖY İKİNCİ SERBEST FON","Serbest Şemsiye Fonu","4,7328","28,0038","44,9684","0,7562","72,4137","162,2018","-"
"AAK","ATA PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,3472","22,1018","47,2179","-0,1573","72,1484","181,6472","317,1758"
"IYS","İŞ PORTFÖY SÜTAŞ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","7,1821","23,3188","44,9875","1,1604","72,0426","266,6073","435,4594"
"PLS","DENİZ PORTFÖY LARA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","5,6927","16,9103","40,8075","0,7947","71,7209","18,3463","-"
"KTS","KT PORTFÖY İKİNCİ KATILIM SERBEST FON","Serbest Şemsiye Fonu","3,4848","28,3178","55,4761","-1,4860","70,7956","135,6566","221,3542"
"DZT","DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,4825","13,4553","41,7831","1,3731","70,2640","74,5508","135,3380"
"HPC","ZİRAAT PORTFÖY HEDEF SERBEST ÖZEL FON","Serbest Şemsiye Fonu","8,3136","30,2584","53,7746","1,8265","69,3343","-","-"
"OPB","OSMANLI PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,1456","22,3338","41,9380","0,1924","69,3214","238,8475","-"
"AK2","AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","6,2952","14,3061","43,4924","2,1425","67,7438","68,4293","109,6414"
"IMS","İŞ PORTFÖY MERMER SERBEST ÖZEL FON","Serbest Şemsiye Fonu","3,2580","18,6459","36,9972","0,3125","67,5684","204,7085","-"
"GAK","INVEO PORTFÖY KARMA FON","Karma Şemsiye Fonu","5,4643","21,8584","45,2165","-0,1427","67,1984","146,6382","257,1328"
"GPG","INVEO PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,3387","33,8444","47,2576","3,6904","66,9536","174,4247","-"
"OFS","OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","4,0451","22,3095","40,0274","0,6048","66,4955","-","-"
"AVZ","AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON","Serbest Şemsiye Fonu","2,5753","17,7605","-","1,4649","65,7921","289,0161","-"
"OPL","OSMANLI PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,0693","16,9890","34,1734","0,3357","65,7668","-","-"
"TIP","TEB PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","0,4224","5,2296","22,6124","0,4415","65,1143","277,5387","-"
"TCC","TACİRLER PORTFÖY SERBEST ( DÖVİZ ) FON","Serbest Şemsiye Fonu","1,3806","8,2786","25,5989","0,2055","64,9526","198,2628","412,0773"
"AVC","ATA PORTFÖY İKİNCİ SERBEST FONU","Serbest Şemsiye Fonu","1,9173","52,0926","93,8356","-2,9880","64,5642","3.815,9584","2.874,0395"
"IPP","PERFORM PORTFÖY BIRINCI SERBEST FON","Serbest Şemsiye Fonu","2,5820","12,8759","34,7471","0,7079","64,3607","280,0148","-"
"GGL","ÜNLÜ PORTFÖY YEDİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,9138","10,9021","26,8693","0,1469","64,0953","-","-"
"SUC","ÜNLÜ PORTFÖY ÜÇÜNCÜ DEĞIŞKEN FON","Değişken Şemsiye Fonu","4,6356","20,9513","38,3702","0,8999","63,6129","167,8149","292,7819"
"DPP","DENİZ PORTFÖY HLC SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","3,2834","25,3941","44,4501","2,4087","63,3975","303,1247","-"
"AZJ","AZİMUT PYŞ STRATEJİ-1 SERBEST FON","Serbest Şemsiye Fonu","3,0191","21,5831","36,3780","0,0000","63,3406","178,3402","-"
"YPZ","YAPI KREDİ PORTFÖY PY LEVENT SERBEST ÖZEL FON","Serbest Şemsiye Fonu","4,3639","19,7097","37,8252","0,8672","62,8832","-","-"
"YCS","AZİMUT PORTFÖY MYRA SERBEST (DÖVİZ) ÖZEL FON","Serbest Şemsiye Fonu","2,8274","13,7568","28,3765","0,4727","62,6482","-","-"
"IFY","İSTANBUL PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON","Serbest Şemsiye Fonu","11,4816","34,6885","50,9201","1,0110","62,0965","-","-"
"IBR","AZİMUT PYŞ MUTLAK GETİRİ HEDEFLİ SERBEST FON","Serbest Şemsiye Fonu","2,2327","6,9565","15,8599","0,0000","62,0450","161,5195","-"
