"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"OSF","NEO PORTFÖY BALKAN SERBEST FON","Serbest Şemsiye Fonu","1,3838","7,0291","21,7465","0,3523","-5,0829","63,4337","-"
"GUH","GARANTI PORTFÖY YABANCI TEKNOLOJİ BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-4,9933","0,0549","5,4038","1,6417","-5,4224","181,7437","303,7956"
"TFF","TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-7,0831","-4,5833","5,0773","1,0519","-6,8079","168,7554","358,7808"
"AFT","AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-4,3123","0,7382","6,4258","3,7642","-8,9585","249,7282","559,3894"
"YCK","YAPI KREDİ PORTFÖY PY CİHANGİR SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,9034","13,2289","30,9980","2,0837","-9,0811","-","-"
"KJK","KT PORTFÖY KUVEYT TÜRK YABANCI KATILIM SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-7,3915","-12,6039","-12,8135","0,0927","-10,9566","-","-"
"YAY","YAPI KREDİ PORTFÖY YABANCI TEKNOLOJİ SEKTÖRÜ HİSSE SENEDİ FONU","Hisse Senedi Şemsiye Fonu","-7,3670","-4,8209","2,4971","1,2119","-11,9749","212,7559","473,0037"
"IPU","İŞ PORTFÖY AS SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-4,1825","-11,0628","-1,6731","1,5188","-13,0894","183,0462","-"
"ZFB","AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-6,2346","-9,6506","12,6770","5,1167","-13,4223","-","-"
"IPC","İŞ PORTFÖY CK SERBEST ÖZEL FON","Serbest Şemsiye Fonu","0,1742","-3,0361","1,9188","0,0210","-15,7568","176,6396","-"
"FJB","FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON","Serbest Şemsiye Fonu","-5,1645","-2,6607","0,8942","2,4258","-20,2832","-","-"
"GFL","GARANTİ PORTFÖY MİA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-19,1915","-22,8067","-9,9275","-2,7693","-30,2369","-","-"
"DDS","DENİZ PORTFÖY DAMLA SERBEST ÖZEL FON","Serbest Şemsiye Fonu","-37,1279","-60,1472","-99,8655","0,0894","-99,9103","-99,8637","-"
